Stn_No,Lat,Long
50136,53.28,122.22
50246,52.19,124.43
50247,52.03,123.4
50349,51.42,124.2
50353,51.43,126.39
50425,50.15,120.11
50431,50.47,121.31
50434,50.29,121.41
50442,50.24,124.07
50445,50.35,123.44
50468,50.15,127.27
50514,49.34,117.26
50524,49.19,119.26
50525,49.09,119.45
50526,49.17,120.42
50527,49.13,119.45
50548,49.12,123.43
50557,49.1,125.14
50564,49.26,127.21
50566,49.35,128.28
50603,48.4,116.49
50618,48.13,118.16
50632,48.46,121.55
50639,48.0,122.44
50645,48.28,124.29
50646,48.29,124.51
50647,48.07,123.29
50655,48.3,126.11
50656,48.17,126.31
50658,48.03,125.53
50659,48.02,126.15
50673,48.53,130.24
50674,48.34,129.26
50727,47.1,119.57
50739,47.2,123.11
50741,47.56,123.3
50742,47.48,124.29
50745,47.23,123.55
50749,47.11,124.5
50750,47.54,125.18
50755,47.36,126.06
50756,47.26,126.58
50758,47.1,125.54
50767,47.14,127.06
50772,48.07,129.15
50774,47.44,128.55
50775,47.22,130.2
50776,47.34,130.5
50778,47.39,132.3
50779,48.22,134.17
50787,47.17,131.51
50788,47.14,131.59
50832,46.43,122.05
50833,46.43,122.54
50834,46.36,121.13
50838,46.05,122.03
50842,46.52,124.26
50844,46.24,123.25
50851,46.41,126.06
50852,46.52,126.29
50853,46.37,126.58
50854,46.23,125.19
50858,46.04,125.58
50859,46.15,126.16
50861,46.53,127.29
50862,46.59,128.01
50867,46.05,127.21
50871,46.44,129.53
50873,46.49,130.17
50877,46.18,129.35
50878,47.01,130.43
50879,46.12,130.31
50880,46.44,131.07
50884,46.38,131.09
50888,46.19,132.11
50892,46.48,134.0
50913,45.43,118.48
50915,45.31,116.58
50928,45.04,120.2
50934,45.24,121.32
50936,45.38,122.5
50937,45.03,121.28
50939,45.2,122.49
50940,45.51,123.1
50945,45.3,124.16
50946,45.11,124.5
50948,45.0,124.01
50949,45.07,124.5
50950,45.42,125.15
50953,45.45,126.46
50954,45.3,125.05
50955,45.23,126.18
50956,46.0,126.36
50958,45.31,126.57
50960,45.47,127.27
50962,45.57,128.02
50963,45.58,128.44
50964,45.5,128.48
50965,45.27,128.18
50968,45.13,127.58
50973,45.45,130.35
50978,45.17,130.57
50979,45.16,130.14
50983,45.46,132.58
50985,45.33,131.52
50987,45.15,131.08
51053,48.03,86.24
51058,47.06,86.37
51059,47.26,85.52
51060,47.42,86.52
51068,47.07,87.28
51076,47.44,88.05
51087,46.59,89.31
51133,46.44,83.0
51137,46.12,82.56
51145,46.33,83.39
51156,46.47,85.43
51186,46.4,90.23
51232,45.11,82.35
51238,44.54,82.04
51241,45.56,83.36
51243,45.37,84.51
51288,45.22,90.32
51328,44.12,80.25
51329,44.03,80.51
51330,44.58,81.01
51334,44.37,82.54
51346,44.26,84.4
51352,44.51,85.15
51353,45.01,86.06
51356,44.19,86.03
51357,44.2,85.37
51358,44.17,85.49
51359,44.19,86.12
51365,44.12,87.32
51367,44.08,86.49
51368,44.01,87.26
51369,43.58,87.39
51377,44.1,87.55
51378,44.01,89.1
51379,44.01,89.34
51430,43.5,81.09
51431,43.57,81.2
51433,43.48,82.34
51434,43.58,81.32
51435,43.28,82.14
51436,43.27,83.18
51437,43.09,81.08
51438,43.11,81.46
51463,43.47,87.37
51465,43.34,87.06
51467,42.4,86.2
51468,43.06,86.5
51469,43.17,87.07
51470,43.53,88.07
51477,43.21,88.19
51482,43.5,90.17
51495,43.29,91.38
51526,42.14,88.13
51542,43.02,84.09
51559,42.19,86.24
51567,42.05,86.34
51568,42.15,86.48
51571,42.48,88.38
51572,42.5,89.15
51573,42.56,89.12
51581,42.51,90.14
51627,41.13,79.14
51628,41.1,80.14
51629,41.16,80.14
51633,41.47,81.54
51636,41.32,82.37
51639,41.14,82.47
51642,41.47,84.15
51644,41.43,83.04
51655,41.21,86.16
51656,41.45,86.08
51701,40.31,75.24
51704,39.43,76.1
51705,39.43,75.15
51707,39.3,76.44
51708,39.09,75.57
51709,39.28,75.59
51711,40.56,78.27
51716,39.48,78.34
51717,39.15,76.47
51720,40.3,79.03
51722,40.39,80.24
51730,40.3,81.03
51765,40.38,87.42
51777,39.02,88.1
51802,38.56,76.1
51804,37.47,75.14
51810,38.55,77.38
51811,38.26,77.16
51814,37.55,77.24
51815,38.12,77.16
51818,37.37,78.17
51826,37.01,80.48
51827,37.17,79.43
51828,37.08,79.56
51829,37.05,80.1
51839,37.04,82.43
51848,37.56,83.39
51855,38.09,85.33
51886,38.15,90.51
51931,36.51,81.39
52101,43.36,93.0
52112,43.46,95.08
52118,43.16,94.42
52203,42.49,93.31
52267,41.57,101.04
52313,41.32,94.4
52323,41.48,97.02
52378,41.22,102.22
52418,40.09,94.41
52424,40.32,95.46
52436,40.16,97.02
52446,40.18,99.31
52447,40.0,98.54
52495,40.1,104.48
52515,39.31,94.53
52533,39.46,98.29
52546,39.22,99.5
52557,39.09,100.1
52575,39.18,102.42
52576,39.13,101.41
52602,38.45,93.2
52607,38.03,105.08
52633,38.48,98.25
52643,38.5,99.37
52645,38.25,99.35
52652,38.56,100.26
52656,38.27,100.49
52657,38.11,100.15
52661,38.48,101.05
52674,38.14,101.58
52679,37.55,102.4
52681,38.38,103.05
52707,36.48,93.41
52713,37.51,95.22
52737,37.22,97.22
52745,37.18,99.02
52749,37.05,99.35
52754,37.2,100.08
52765,37.23,101.37
52784,37.29,102.54
52787,37.12,102.52
52797,37.11,104.03
52815,36.48,95.18
52818,36.25,94.54
52825,36.26,96.25
52833,36.55,98.29
52835,36.04,97.48
52836,36.18,98.06
52842,36.47,99.05
52853,36.55,100.59
52854,36.37,100.16
52855,36.41,101.14
52856,36.16,100.37
52862,36.57,101.41
52863,36.49,101.57
52866,36.37,101.46
52868,36.02,101.26
52869,36.31,101.34
52874,36.29,102.23
52875,36.3,102.06
52876,36.19,102.51
52877,36.06,102.16
52884,36.21,103.56
52885,36.45,103.15
52889,36.03,103.53
52895,36.34,104.41
52896,36.33,104.11
52908,35.13,93.05
52941,35.53,99.59
52943,35.35,99.59
52955,35.35,100.45
52957,35.16,100.39
52963,35.56,102.02
52968,35.02,101.28
52972,35.5,102.33
52974,35.31,102.01
52978,35.12,102.31
52980,35.58,103.18
52981,35.4,103.24
52982,35.29,103.34
52983,35.52,104.09
52984,35.35,103.11
52985,35.26,103.21
52986,35.22,103.52
52988,35.22,103.43
52993,35.41,105.05
52995,35.35,104.37
52996,35.23,105.0
52998,35.08,104.12
53068,43.39,111.58
53083,44.37,114.09
53149,42.32,110.08
53192,44.01,114.57
53195,43.52,111.38
53231,41.24,106.24
53272,42.45,112.39
53276,42.24,112.54
53289,42.14,113.5
53324,41.27,106.59
53336,41.34,108.31
53337,41.06,108.16
53343,41.46,109.58
53348,41.01,109.08
53352,41.42,110.26
53357,41.02,110.03
53362,41.32,111.41
53367,41.19,111.14
53368,41.06,111.27
53378,41.16,112.37
53384,41.27,113.11
53385,41.34,113.33
53391,41.54,114.0
53392,41.51,114.36
53397,41.04,113.57
53399,41.09,114.42
53419,40.2,107.0
53420,40.54,107.08
53433,40.44,108.39
53446,40.4,109.51
53455,40.33,110.32
53457,40.24,110.02
53463,40.49,111.41
53464,40.41,111.09
53466,40.48,111.42
53467,40.16,111.11
53469,40.23,111.48
53472,40.52,112.34
53475,40.31,112.31
53478,40.0,112.27
53480,41.02,113.04
53481,40.48,113.13
53483,40.53,113.52
53484,40.27,113.09
53486,40.22,113.46
53487,40.06,113.2
53488,40.02,113.35
53490,40.26,114.03
53491,40.41,114.24
53492,40.06,114.09
53498,40.34,115.02
53499,40.46,114.44
53502,39.47,105.45
53505,39.05,105.23
53512,39.41,106.49
53513,40.45,107.25
53517,39.16,106.2
53518,39.0,106.22
53519,39.13,106.46
53522,40.03,107.51
53529,39.06,107.59
53533,39.51,108.44
53543,39.5,109.59
53545,39.34,109.44
53547,39.06,109.02
53553,39.4,110.52
53562,39.55,111.4
53564,39.23,111.09
53565,39.26,111.3
53567,39.02,111.05
53573,40.0,112.42
53574,39.31,112.16
53575,39.05,112.11
53576,39.3,112.49
53577,39.0,112.18
53578,39.18,112.26
53579,39.01,112.54
53580,39.49,113.06
53582,39.43,113.41
53584,39.34,113.1
53585,39.1,113.16
53588,39.02,113.32
53590,39.45,114.16
53593,39.5,114.34
53594,39.27,114.11
53596,38.5,115.09
53599,39.21,114.4
53602,38.5,105.4
53610,38.33,106.21
53611,38.54,106.33
53612,37.59,106.11
53614,38.29,106.13
53615,38.48,106.42
53617,38.01,106.04
53618,38.15,106.15
53619,38.07,106.18
53644,38.36,108.5
53646,38.14,109.42
53651,38.49,110.26
53658,38.02,110.29
53659,37.58,111.0
53660,39.01,111.05
53662,38.43,111.35
53663,38.55,111.49
53664,38.28,111.08
53665,38.17,111.39
53666,38.21,111.56
53669,38.04,111.47
53673,38.44,112.43
53674,38.25,112.42
53676,38.3,112.59
53677,37.56,112.29
53678,38.04,112.4
53679,37.44,112.33
53680,38.18,114.23
53681,38.5,113.22
53682,38.38,114.41
53685,38.04,113.25
53687,37.47,113.38
53688,38.27,114.33
53689,38.01,115.04
53690,38.51,114.11
53691,38.09,114.34
53692,38.44,114.59
53693,38.02,114.08
53694,38.15,114.12
53695,38.21,114.41
53696,38.31,115.0
53697,38.01,114.5
53698,38.02,114.25
